time,Muttonpulao_02_PYY,Cholebhature_01_PYY,Curdrice_01_PYY,Lemonrice_01_PYY,Pasta_01_PYY,Masaladosa_01_PYY,Vegetable_Biryani_01_PYY,Rapid_starch_01_PYY,Chickenbreast_01_PYY,Rice_01_PYY,Eggwhite_01_PYY,Paneer_01_PYY,Milk_Chocolate_01_PYY,Peanuts_01_PYY,Curd_01_PYY,Glucose_01_PYY,Biscuit_01_PYY,Glucose_02_PYY,Bread_Meal_01_100_PYY,Chickensandwich_01_PYY,Ghee_01_PYY,Apple_Pineapplesalad_01_PYY,Spinach_01_PYY,Bread_meal_02_PYY,Orange_01_PYY,Omelette_01_PYY,Muttonpulao_01_PYY,Arabinose_01_PYY
45.01,43.97326,29.02747,20.17679,33.42564,12.42358,12.34933,25.76871,409.16885,0.05077,25.15851,0.04995,18.87308,11.73635,35.15506,4.41661,,5.48076,3163.77761,17.04163,57.62753,0.04995,20.57791,3.15258,19.55993,1.54726,17.80326,33.42564,0.04446
46.01,44.70782,29.57148,20.34103,33.60216,12.64352,12.44856,26.16952,499.13842,0.05124,25.93029,0.0504,19.12258,11.99146,36.68439,4.48694,,5.76833,3088.00343,17.16346,59.28124,0.0504,20.9402,3.21919,19.97052,1.58353,18.05721,33.60216,0.04449
47.01,45.41531,30.09766,20.49055,33.75683,12.85637,12.5394,26.55321,609.21369,0.05174,26.70012,0.05086,19.36412,12.24635,38.22321,4.55597,,6.06355,3023.48275,17.26828,60.92663,0.05086,21.28468,3.28461,20.37158,1.6193,18.30045,33.75683,0.04452
48.01,46.09599,30.6053,20.6261,33.89083,13.06288,12.62236,26.91855,735.73543,0.05226,27.46887,0.05136,19.59799,12.50126,39.77079,4.62373,,6.3665,,17.3584,62.56254,0.05136,21.6119,3.34892,20.76392,1.65461,18.53277,33.89083,0.04456
49.01,46.75021,31.094,20.74841,34.00507,13.26378,12.69795,27.26429,878.53016,0.0528,28.23651,0.05187,19.8245,12.75637,41.32646,4.69029,,6.67712,,17.43608,64.18781,0.05187,21.92243,3.41223,21.14816,1.68948,18.75381,34.00507,0.0446
50.01,47.37832,31.56356,20.85822,34.10023,13.45977,12.76666,27.58957,1034.24284,0.05337,29.00253,0.05241,20.04395,13.01187,42.88962,4.75568,,6.99519,,17.50343,65.80127,0.05241,22.21685,3.47464,21.5247,1.72395,18.96316,34.10023,0.04464
51.01,47.98066,32.01389,20.95628,34.17679,13.65151,12.82898,27.89368,1182.29363,0.05397,29.76608,0.05298,20.25666,13.26789,44.45973,4.81994,,7.32033,,17.56245,67.40172,0.05298,22.49574,3.53624,21.89371,1.75805,19.16053,34.17679,0.04468
52.01,48.55759,32.44495,21.04329,34.23512,13.83962,12.88537,28.17572,1323.50152,0.0546,30.52607,0.05358,20.46295,13.52453,46.0363,4.88311,,7.65203,,17.61495,68.98789,0.05358,22.75963,3.59714,22.25525,1.79181,19.34593,34.23512,0.04472
53.01,49.10942,32.8567,21.11993,34.27543,14.02467,12.9363,28.43514,1460.14329,0.05525,31.28114,0.0542,20.66312,13.78188,47.61893,4.94524,,7.98958,,17.66263,70.55844,0.0542,23.00905,3.65743,22.60925,1.82527,19.51969,34.27543,0.04476
54.01,49.63648,33.24918,21.18685,34.2976,14.20717,12.98219,28.67219,1593.07882,0.05593,32.02979,0.05485,20.85752,14.03998,49.20725,5.00634,,8.33209,,17.70696,72.11184,0.05485,23.24451,3.7172,22.95563,1.85845,19.68224,34.2976,0.0448
55.01,50.1391,33.62243,21.24465,34.30061,14.38757,13.02348,28.88756,1722.71418,0.05665,32.77039,0.05553,21.04645,14.29886,50.80101,5.06645,,8.67842,,17.7493,73.64631,0.05553,23.46651,3.77654,23.2943,1.8914,19.83409,34.30061,0.04485
56.01,50.61759,33.97656,21.29389,34.28249,14.56629,13.06055,29.08214,1849.01846,0.05739,33.50126,0.05625,21.23025,14.55852,52.40001,5.1256,,9.02722,,17.79082,75.15975,0.05625,23.67556,3.83554,23.62517,1.92413,19.97577,34.28249,0.04489
57.01,51.07232,34.31176,21.33512,34.24253,14.74368,13.09376,29.25686,1971.86739,0.05817,34.22068,0.05699,21.4092,14.81895,54.00415,5.1838,,9.37688,,17.83252,76.64985,0.05699,23.87216,3.89427,23.94822,1.95668,20.10777,34.24253,0.04494
58.01,51.5037,34.62822,21.36886,34.1815,14.92004,13.12347,29.41263,2091.80328,0.05899,34.92698,0.05777,21.58362,15.08012,55.61342,5.2411,,9.72556,,17.87527,78.11437,0.05777,24.05682,3.95279,24.26345,1.98908,20.23058,34.1815,0.04499
59.01,51.91212,34.92618,21.39562,34.10074,15.09565,13.15,29.55038,2209.52864,0.05984,35.61853,0.05859,21.75378,15.34199,57.22791,5.2975,,10.0712,,17.9198,79.55161,0.05859,24.23003,4.01118,24.57092,2.02133,20.34468,34.10074,0.04504
60.01,52.29801,35.20588,21.41585,34.00175,15.27071,13.17366,29.67107,2325.34175,0.06072,36.29381,0.05944,21.91999,15.60449,58.8478,5.35303,,10.41163,,17.96668,80.96058,0.05944,24.39227,4.06948,24.87074,2.05345,20.4505,34.00175,0.04509
61.01,52.66179,35.46767,21.42999,33.88603,15.44539,13.19476,29.77559,2439.37123,0.06164,36.95142,0.06032,22.08252,15.86755,60.47334,5.40771,,10.74489,,18.01638,82.34093,0.06032,24.54401,4.12773,25.16307,2.08547,20.54847,33.88603,0.04514
62.01,53.00388,35.71191,21.43846,33.75517,15.61982,13.21363,29.86489,2551.74358,0.0626,37.59012,0.06125,22.24165,16.13109,62.10494,5.46156,,11.06962,,18.06925,83.69266,0.06125,24.68571,4.18597,25.44812,2.11738,20.63901,33.75517,0.04519
63.01,53.32474,35.93906,21.44165,33.61075,15.79407,13.23057,29.9399,2662.57719,0.0636,38.20883,0.06221,22.39762,16.395,63.74304,5.51459,,11.3856,,18.12551,85.01595,0.06221,24.81781,4.24423,25.72615,2.14918,20.72251,33.61075,0.04524
64.01,53.62479,36.14958,21.43992,33.45435,15.9682,13.24589,30.00154,2771.91404,0.06464,38.80667,0.06321,22.55069,16.65919,65.38823,5.56682,,11.6941,,18.18529,86.31106,0.06321,24.94075,4.30252,25.99743,2.18088,20.79935,33.45435,0.0453
65.01,53.90443,36.34395,21.43364,33.28749,16.14221,13.25992,30.05071,2879.76469,0.06572,39.38294,0.06425,22.70106,16.92354,67.04116,5.61826,,11.99761,,18.24865,87.57827,0.06425,25.05493,4.36084,26.26226,2.21247,20.86986,33.28749,0.04535
66.01,54.16408,36.52267,21.42317,33.11162,16.31609,13.27294,30.08829,2986.14723,0.06683,39.93715,0.06533,22.84897,17.18794,68.70257,5.66894,,12.29899,,18.31556,88.8179,0.06533,25.16078,4.41919,26.52098,2.24394,20.93442,33.11162,0.04541
67.01,54.4041,36.68624,21.40882,32.92813,16.4898,13.28524,30.11514,3091.09129,0.068,40.46902,0.06646,22.99462,17.45227,70.37328,5.71885,,12.60067,,18.38593,90.03025,0.06646,25.25867,4.47754,26.77392,2.27526,20.99338,32.92813,0.04546
68.01,54.62485,36.83516,21.3909,32.73836,16.66326,13.29705,30.13209,3194.6322,0.0692,40.9785,0.06762,23.13819,17.71639,72.05418,5.76803,,12.90399,,18.45963,91.21562,0.06762,25.34897,4.53587,27.02143,2.30642,21.04711,32.73836,0.04552
69.01,54.82666,36.96996,21.36969,32.54354,16.83638,13.30858,30.13991,3296.80058,0.07045,41.46574,0.06883,23.27988,17.98019,73.74623,5.81647,,13.20914,,18.53644,92.37432,0.06883,25.43204,4.59415,27.26385,2.33739,21.09596,32.54354,0.04558
70.01,55.00981,37.09113,21.34546,32.34482,17.00904,13.32001,30.13932,3397.61142,0.07174,41.93113,0.07009,23.41982,18.24352,75.45043,5.86418,,13.51504,,18.61614,93.50663,0.07009,25.50821,4.65233,27.50152,2.36814,21.14029,32.34482,0.04564
71.01,55.17443,37.19918,21.31847,32.14322,17.18111,13.33149,30.131,3497.0629,0.07321,42.37525,0.07151,23.55816,18.50625,77.16782,5.91118,,13.81955,,18.69847,94.61284,0.07151,25.57783,4.71034,27.73477,2.39863,21.18043,32.14322,0.04567
72.01,55.32048,37.29458,21.28897,31.93969,17.35245,13.34314,30.11555,3595.13859,,42.79887,,23.69498,18.76827,78.89946,5.95748,,14.11955,,18.78314,95.69325,,25.6412,4.76813,27.96391,2.42882,21.21668,31.93969,0.04554
73.01,55.44745,37.37778,21.25718,31.73504,17.5229,13.35507,30.09354,3691.7873,,43.20295,,23.83037,19.02942,80.64639,6.00308,,14.41132,,18.86986,96.74812,,25.69862,4.82561,28.18925,2.45867,21.24935,31.73504,0.04514
74.01,55.5542,37.4492,21.22333,31.53002,17.69231,13.36737,30.0655,3786.87593,,43.58861,,23.96435,19.28957,82.40965,6.048,,14.69172,,18.95833,97.77773,,25.75038,4.88272,28.41108,2.48814,21.27871,31.53002,0.04444
75.01,55.63911,37.50923,21.18761,31.32527,17.86049,13.38016,30.03195,3880.13654,,43.95713,,24.09688,19.54858,84.19021,6.09224,,14.96014,,19.04824,98.7823,,25.79674,4.93936,28.62967,2.51717,21.30501,31.32527,0.04345
76.01,55.7011,37.55818,21.1502,31.12137,18.02728,13.39353,29.99337,3971.18466,,44.30992,,24.22779,19.80633,85.98899,6.13579,,15.21973,,19.13928,99.76208,,25.83797,4.99543,28.84525,2.54572,21.32851,31.12137,0.04222
77.01,55.74028,37.59623,21.11129,30.91883,18.1925,13.4076,29.95022,4059.59914,,44.64849,,24.35679,20.06269,87.80684,6.17867,,15.47919,,19.23115,100.71726,,25.87431,5.05084,29.05805,2.57373,21.34944,30.91883,0.04078
78.01,55.75752,37.62325,21.07103,30.71807,18.35598,13.42249,29.90294,4144.93734,,44.97443,,24.48349,20.31752,89.64454,6.22088,,15.76215,,19.32357,101.648,,25.90598,5.10549,29.26827,2.60114,21.36801,30.71807,0.03923
79.01,55.754,37.63873,21.02959,30.51945,18.51754,13.4383,29.85191,4226.80836,,45.28934,,24.60754,20.5707,91.50292,6.26242,,16.12802,,19.41627,102.55438,,25.93322,5.15925,29.47609,2.6279,21.38442,30.51945,0.03775
80.01,55.73091,37.64205,20.98712,30.3233,18.67702,13.45517,29.79749,4305.06343,,45.59486,,24.72886,20.82211,93.38279,6.30329,,16.85748,,19.50898,103.43639,,25.95624,5.21202,29.68164,2.65396,21.39883,30.3233,0.03643
81.01,55.68944,37.63314,20.94375,30.12988,18.83427,13.47316,29.74004,4379.93104,,45.89262,,24.84757,21.07162,95.28502,6.3435,,39.56041,,19.60148,104.29382,,25.97523,5.26369,29.88508,2.67924,21.41142,30.12988,0.03528
82.01,55.63076,37.6125,20.89959,29.93943,18.98912,13.49234,29.67988,4451.95865,,46.18416,,24.96396,21.31912,97.21042,6.38304,,98.3827,,19.69352,105.1261,,25.99036,5.31415,30.0865,2.70371,21.42234,29.93943,0.03428
83.01,55.55598,37.58091,20.85475,29.75214,19.14142,13.51274,29.61732,4521.82443,,46.47097,,25.07836,21.56448,99.15971,6.42191,,168.88883,,19.78489,105.93224,,26.00183,5.36327,30.28598,2.72729,21.43175,29.75214,0.0334
84.01,55.46617,37.53915,20.80935,29.56818,19.29103,13.53434,29.55265,4590.19839,,46.75442,,25.1911,21.80759,101.13348,6.4601,,257.44937,,19.87542,106.711,,26.00979,5.41093,30.48359,2.74994,21.43977,29.56818,0.03264
85.01,55.36236,37.48804,20.76349,29.38767,19.43782,13.55709,29.48615,4657.68902,,47.0357,,25.30251,22.04835,103.13218,6.49761,,370.05505,,19.96492,107.46152,,26.01441,5.45703,30.67935,2.7716,21.44653,29.38767,0.03198
86.01,55.24549,37.42832,20.71727,29.21071,19.58167,13.58091,29.41804,4724.83506,,47.31588,,25.4129,22.28666,105.1561,6.53444,,491.19322,,20.05323,108.18378,,26.01583,5.50146,30.87329,2.79222,21.45214,29.21071,0.03141
87.01,55.11647,37.36071,20.67077,29.03735,19.72246,13.60569,29.34855,4792.11159,,47.59579,,25.52259,22.52239,107.20532,6.57057,,615.06985,,20.14023,108.87831,,26.01418,5.54409,31.06541,2.81174,21.45669,29.03735,0.03092
88.01,54.97614,37.28588,20.62408,28.86767,19.86009,13.63133,29.2779,4859.93396,,47.87609,,25.63189,22.75546,109.27979,6.606,,740.43487,,20.2258,109.54585,,26.00961,5.58482,31.25569,2.83012,21.46029,28.86767,0.03049
89.01,54.82526,37.20446,20.57725,28.70171,19.99445,13.6577,29.20629,4928.6697,,48.15725,,25.74108,22.98577,111.37925,6.64072,,866.91158,,20.30982,110.1872,,26.00222,5.62356,31.44411,2.84731,21.46303,28.70171,0.03013
90.01,54.66448,37.11705,20.53037,28.53948,20.12548,13.6847,29.13388,4998.64815,,48.43951,,25.85048,23.21321,113.50326,6.67472,,994.16271,,20.39219,110.80314,,25.99214,5.66019,31.63061,2.86327,21.46498,28.53948,0.02981
91.01,54.49421,37.02421,20.4835,28.381,20.25308,13.71226,29.06085,5070.16812,,48.7229,,25.9604,23.43772,115.65118,6.70799,,1121.96972,,20.47285,111.3944,,25.97948,5.69462,31.81513,2.87795,21.46623,28.381,0.02954
92.01,54.31447,36.9265,20.4367,28.22623,20.37719,13.74029,28.98735,5143.50519,,49.00728,,26.07107,23.65921,117.82221,6.74051,,,,20.55172,111.96169,,25.96433,5.72677,31.9976,2.89132,21.46684,28.22623,0.02931
93.01,54.12484,36.82448,20.39003,28.07516,20.49777,13.76878,28.91349,5218.91819,,49.2923,,26.18262,23.87759,120.01533,6.77227,,,,20.62876,112.50565,,25.9468,5.75654,32.17792,2.90335,21.46687,28.07516,0.02912
94.01,53.92498,36.71866,20.34355,27.92775,20.61477,13.79766,28.83941,5296.65478,,49.57746,,26.29503,24.09279,122.22938,6.80326,,,,20.7039,113.02692,,25.92698,5.78386,32.35603,2.914,21.46638,27.92775,0.02895
95.01,53.71526,36.60958,20.2973,27.78396,20.72814,13.82689,28.76521,5376.95537,,49.86212,,26.40822,24.30474,124.463,6.83346,,,,20.77712,113.52606,,25.90494,5.80866,32.53181,2.92325,21.46542,27.78396,0.02882
