time,Muttonpulao_02_small peptides absorbed,Cholebhature_01_small peptides absorbed,Curdrice_01_small peptides absorbed,Lemonrice_01_small peptides absorbed,Pasta_01_small peptides absorbed,Masaladosa_01_small peptides absorbed,Vegetable_Biryani_01_small peptides absorbed,Rice_01_small peptides absorbed,Paneer_01_small peptides absorbed,Milk_Chocolate_01_small peptides absorbed,Peanuts_01_small peptides absorbed,Curd_01_small peptides absorbed,Bread_Meal_01_small peptides absorbed,Chickensandwich_01_small peptides absorbed,Apple_Pineapplesalad_01_small peptides absorbed,Spinach_01_small peptides absorbed,Bread_Meal_02_small peptides absorbed,Orange_01_small peptides absorbed,Omelette_01_small peptides absorbed
368.01,0.0011,0.00095,0.00061,0.00068,0.0004,0.00036,0.00079,0.00025,0.00119,0.00041,0.00043,0.0,0.00039,0.00139,2e-05,0.0,0.00064,0.0,0.00079
369.01,0.0011,0.00095,0.00061,0.00068,0.0004,0.00036,0.00078,0.00024,0.00119,0.00041,0.00042,0.0,0.00039,0.00139,1e-05,0.0,0.00064,0.0,0.00079
370.01,0.0011,0.00095,0.0006,0.00068,0.0004,0.00035,0.00078,0.00024,0.00119,0.0004,0.00042,0.0,0.00039,0.00139,1e-05,0.0,0.00064,0.0,0.00079
371.01,0.0011,0.00095,0.0006,0.00068,0.0004,0.00035,0.00078,0.00024,0.00119,0.0004,0.00041,0.0,0.00039,0.00139,1e-05,0.0,0.00064,0.0,0.00079
372.01,0.0011,0.00095,0.0006,0.00068,0.0004,0.00035,0.00078,0.00024,0.00119,0.0004,0.00041,0.0,0.00038,0.00139,1e-05,0.0,0.00064,0.0,0.00079
373.01,0.0011,0.00095,0.0006,0.00068,0.00039,0.00035,0.00078,0.00024,0.00119,0.00039,0.0004,0.0,0.00038,0.00139,1e-05,0.0,0.00064,0.0,0.00079
374.01,0.0011,0.00095,0.0006,0.00068,0.00039,0.00035,0.00078,0.00023,0.00119,0.00039,0.0004,0.0,0.00038,0.00139,1e-05,0.0,0.00064,0.0,0.00078
375.01,0.0011,0.00095,0.0006,0.00068,0.00039,0.00035,0.00078,0.00023,0.00119,0.00039,0.0004,0.0,0.00038,0.00139,1e-05,0.0,0.00064,0.0,0.00078
376.01,0.0011,0.00095,0.0006,0.00068,0.00039,0.00035,0.00078,0.00023,0.00118,0.00038,0.00039,0.0,0.00038,0.00139,1e-05,0.0,0.00064,0.0,0.00078
377.01,0.0011,0.00095,0.0006,0.00067,0.00039,0.00035,0.00078,0.00023,0.00118,0.00038,0.00039,0.0,0.00037,0.00139,1e-05,0.0,0.00064,0.0,0.00078
378.01,0.0011,0.00095,0.0006,0.00067,0.00038,0.00035,0.00078,0.00023,0.00118,0.00038,0.00038,0.0,0.00037,0.00139,1e-05,0.0,0.00064,0.0,0.00078
379.01,0.0011,0.00095,0.0006,0.00067,0.00038,0.00035,0.00078,0.00022,0.00118,0.00037,0.00038,0.0,0.00037,0.00139,1e-05,0.0,0.00064,0.0,0.00077
380.01,0.0011,0.00095,0.0006,0.00067,0.00038,0.00035,0.00078,0.00022,0.00118,0.00037,0.00037,0.0,0.00037,0.00139,1e-05,0.0,0.00064,0.0,0.00077
381.01,0.0011,0.00095,0.00059,0.00067,0.00038,0.00034,0.00078,0.00022,0.00118,0.00037,0.00037,0.0,0.00037,0.00139,1e-05,0.0,0.00064,0.0,0.00077
382.01,0.0011,0.00095,0.00059,0.00067,0.00038,0.00034,0.00078,0.00022,0.00118,0.00036,0.00037,0.0,0.00036,0.00139,1e-05,0.0,0.00064,0.0,0.00077
383.01,0.0011,0.00095,0.00059,0.00067,0.00037,0.00034,0.00078,0.00021,0.00118,0.00036,0.00036,0.0,0.00036,0.00139,1e-05,0.0,0.00064,0.0,0.00077
384.01,0.0011,0.00095,0.00059,0.00067,0.00037,0.00034,0.00078,0.00021,0.00118,0.00036,0.00036,0.0,0.00036,0.00139,1e-05,0.0,0.00064,0.0,0.00076
385.01,0.00109,0.00095,0.00059,0.00067,0.00037,0.00034,0.00078,0.00021,0.00118,0.00035,0.00035,0.0,0.00036,0.00139,1e-05,0.0,0.00064,0.0,0.00076
386.01,0.00109,0.00095,0.00059,0.00067,0.00037,0.00034,0.00078,0.00021,0.00118,0.00035,0.00035,0.0,0.00036,0.00139,1e-05,0.0,0.00064,0.0,0.00076
387.01,0.00109,0.00095,0.00059,0.00067,0.00037,0.00034,0.00078,0.0002,0.00118,0.00035,0.00034,0.0,0.00035,0.00139,1e-05,0.0,0.00064,0.0,0.00076
388.01,0.00109,0.00095,0.00059,0.00067,0.00036,0.00034,0.00078,0.0002,0.00118,0.00034,0.00034,0.0,0.00035,0.00139,1e-05,0.0,0.00064,0.0,0.00076
389.01,0.0011,0.00095,0.00059,0.00067,0.00036,0.00034,0.00078,0.0002,0.00117,0.00034,0.00034,0.0,0.00035,0.00139,1e-05,0.0,0.00064,0.0,0.00075
390.01,0.0011,0.00095,0.00059,0.00067,0.00036,0.00034,0.00078,0.0002,0.00117,0.00034,0.00033,0.0,0.00035,0.00139,1e-05,0.0,0.00064,0.0,0.00075
391.01,0.0011,0.00095,0.00059,0.00067,0.00036,0.00034,0.00078,0.00019,0.00117,0.00033,0.00033,0.0,0.00034,0.00139,0.0,0.0,0.00064,0.0,0.00075
392.01,0.0011,0.00095,0.00059,0.00067,0.00036,0.00034,0.00078,0.00019,0.00117,0.00033,0.00032,0.0,0.00034,0.00139,0.0,0.0,0.00064,0.0,0.00075
393.01,0.0011,0.00095,0.00059,0.00067,0.00035,0.00033,0.00078,0.00019,0.00117,0.00033,0.00032,0.0,0.00034,0.00139,0.0,0.0,0.00064,0.0,0.00075
394.01,0.0011,0.00095,0.00058,0.00067,0.00035,0.00033,0.00078,0.00019,0.00117,0.00032,0.00032,0.0,0.00034,0.00139,0.0,0.0,0.00064,0.0,0.00074
395.01,0.0011,0.00095,0.00058,0.00066,0.00035,0.00033,0.00078,0.00018,0.00117,0.00032,0.00031,0.0,0.00034,0.00139,0.0,0.0,0.00064,0.0,0.00074
396.01,0.0011,0.00095,0.00058,0.00066,0.00035,0.00033,0.00078,0.00018,0.00117,0.00032,0.00031,0.0,0.00033,0.00139,0.0,0.0,0.00064,0.0,0.00074
397.01,0.00109,0.00095,0.00058,0.00066,0.00035,0.00033,0.00078,0.00018,0.00117,0.00031,0.0003,0.0,0.00033,0.00139,0.0,0.0,0.00064,0.0,0.00074
398.01,0.00109,0.00094,0.00058,0.00066,0.00034,0.00033,0.00078,0.00018,0.00117,0.00031,0.0003,0.0,0.00033,0.00139,0.0,0.0,0.00064,0.0,0.00074
399.01,0.00109,0.00094,0.00058,0.00066,0.00034,0.00033,0.00078,0.00017,0.00117,0.00031,0.00029,0.0,0.00033,0.00139,0.0,0.0,0.00064,0.0,0.00073
