time,Muttonpulao_02_serum_glucose_mg_dl,Cholebhature_01_serum_glucose_mg_dl,Curdrice_01_serum_glucose_mg_dl,Lemonrice_01_serum_glucose_mg_dl,Pasta_01_serum_glucose_mg_dl,Masaladosa_01_serum_glucose_mg_dl,Vegetable_Biryani_01_serum_glucose_mg_dl,Rapid_starch_01_serum_glucose_mg_dl,Chickenbreast_01_serum_glucose_mg_dl,Rice_01_serum_glucose_mg_dl,Eggwhite_01_serum_glucose_mg_dl,Paneer_01_serum_glucose_mg_dl,Milk_Chocolate_01_serum_glucose_mg_dl,Peanuts_01_serum_glucose_mg_dl,Curd_01_serum_glucose_mg_dl,Glucose_01_serum_glucose_mg_dl,Biscuit_01_serum_glucose_mg_dl,Glucose_02_serum_glucose_mg_dl,Bread_Meal_01_100_serum_glucose_mg_dl,Chickensandwich_01_serum_glucose_mg_dl,Ghee_01_serum_glucose_mg_dl,Apple_Pineapplesalad_01_serum_glucose_mg_dl,Spinach_01_serum_glucose_mg_dl,Bread_meal_02_serum_glucose_mg_dl,Orange_01_serum_glucose_mg_dl,Omelette_01_serum_glucose_mg_dl,Muttonpulao_01_serum_glucose_mg_dl,Arabinose_01_serum_glucose_mg_dl
28.01,100.07573,99.30114,109.08575,116.11107,127.16381,95.29954,103.39035,145.4857,84.9329,142.51226,84.93292,91.11206,99.50074,96.31617,88.25251,,128.04899,130.5075,132.90177,96.36661,84.93292,106.88043,85.66827,132.90038,103.02225,92.95152,116.11107,84.932
29.01,99.26819,98.75995,108.29258,115.28207,126.60376,95.08775,102.76764,144.26514,84.93288,142.37295,84.93291,91.13796,98.8287,96.06272,88.29733,,130.34958,126.29184,132.00194,95.77756,84.93291,106.12278,85.66647,132.02147,102.56887,92.94841,115.28207,84.93192
30.01,98.4574,98.22362,107.48071,114.30718,125.83808,94.83474,102.13269,142.66843,84.93286,141.82472,84.93289,91.15205,98.16062,95.74644,88.33729,,132.58362,122.19894,130.77559,95.17325,84.93289,105.32386,85.66187,130.8431,102.02556,92.92874,114.30718,84.93184
31.01,97.64967,97.69694,106.65248,113.2046,124.87515,94.54685,101.48787,140.75885,84.93284,140.88802,84.93288,91.15474,97.51228,95.37467,88.37233,,134.71174,117.92336,129.23919,94.5646,84.93288,104.49182,85.65454,129.39367,101.4098,92.89336,113.2046,84.93176
32.01,96.85165,97.18454,105.81011,111.99205,123.72482,94.23057,100.83591,138.59892,84.93282,139.59326,84.93286,91.14655,96.89696,94.95547,88.40245,,136.69346,112.87823,127.41539,93.96113,84.93286,103.63421,85.64452,127.70728,100.73796,92.84322,111.99205,84.93168
33.01,96.0703,96.6908,104.9559,110.68695,122.40002,93.89228,100.17992,136.24998,84.93279,137.97836,84.93283,91.128,96.32545,94.49728,88.42766,,138.48733,107.44488,125.33188,93.37096,84.93283,102.75808,85.63186,125.82135,100.0253,92.77933,110.68695,84.93159
34.01,95.31294,96.21982,104.09232,109.3065,120.91822,93.53807,99.52339,133.77216,84.93276,136.0859,84.93281,91.09963,95.80608,94.00863,88.44804,,140.05189,101.98414,123.01971,92.80087,84.93281,101.87016,85.61664,123.77453,99.28599,92.70277,109.3065,84.93151
35.01,94.58709,95.77526,103.22213,107.86774,119.30169,93.1737,98.87014,131.22129,84.93273,133.96039,84.93278,91.06202,95.34462,93.49783,88.46364,,141.3477,96.69506,120.51215,92.2563,84.93278,100.97694,85.59891,121.60515,98.53329,92.61467,107.86774,84.93143
36.01,93.90031,95.36026,102.34839,106.3873,117.57653,92.80451,98.22429,128.64592,84.9327,131.64571,84.93275,91.01575,94.94428,92.97275,88.47456,,142.33978,91.68059,117.8453,91.74147,84.93275,100.08488,85.57874,119.35031,97.77962,92.51619,106.3873,84.93134
37.01,93.25982,94.9773,101.47456,104.88111,115.77073,92.43544,97.59025,126.08642,84.93266,129.18305,84.93272,90.96142,94.60581,92.44064,88.48083,,143.00019,86.98268,115.06061,91.25934,84.93272,99.20055,85.55621,117.04481,97.03649,92.40845,104.88111,84.93125
